Calculation1,School,City,County/State/Country,Measure Names,Measure Values
A B MILLER HIGH SCHOOL050944,A B MILLER HIGH SCHOOL,Fontana,San Bernardino,Enrl GPA,
A B MILLER HIGH SCHOOL050944,A B MILLER HIGH SCHOOL,Fontana,San Bernardino,Adm GPA,
A B MILLER HIGH SCHOOL050944,A B MILLER HIGH SCHOOL,Fontana,San Bernardino,App GPA,3.888888889
ABLE CHARTER054651,ABLE CHARTER,Stockton,San Joaquin,Enrl GPA,
ABLE CHARTER054651,ABLE CHARTER,Stockton,San Joaquin,Adm GPA,
ABLE CHARTER054651,ABLE CHARTER,Stockton,San Joaquin,App GPA,3.712857143
ABRAHAM LINCOLN HIGH SCHOOL051520,ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,Enrl GPA,
ABRAHAM LINCOLN HIGH SCHOOL051520,ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,Adm GPA,4.19
ABRAHAM LINCOLN HIGH SCHOOL051520,ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,App GPA,3.855813953
ABRAHAM LINCOLN HIGH SCHOOL052910,ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,Enrl GPA,4.20625
ABRAHAM LINCOLN HIGH SCHOOL052910,ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,Adm GPA,4.223846154
ABRAHAM LINCOLN HIGH SCHOOL052910,ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,App GPA,4.038571429
ABRAHAM LINCOLN HIGH SCHOOL053075,ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,Enrl GPA,4.26375
ABRAHAM LINCOLN HIGH SCHOOL053075,ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,Adm GPA,4.285384615
ABRAHAM LINCOLN HIGH SCHOOL053075,ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,App GPA,4.079054054
ACAD FOR ACADEMIC EXCELLENCE050126,ACAD FOR ACADEMIC EXCELLENCE,Apple Valley,San Bernardino,Enrl GPA,
ACAD FOR ACADEMIC EXCELLENCE050126,ACAD FOR ACADEMIC EXCELLENCE,Apple Valley,San Bernardino,Adm GPA,
ACAD FOR ACADEMIC EXCELLENCE050126,ACAD FOR ACADEMIC EXCELLENCE,Apple Valley,San Bernardino,App GPA,4.008
ACADEMIA AVANCE CHARTER SCHOOL054247,ACADEMIA AVANCE CHARTER SCHOOL,Los Angeles,Los Angeles,Enrl GPA,
ACADEMIA AVANCE CHARTER SCHOOL054247,ACADEMIA AVANCE CHARTER SCHOOL,Los Angeles,Los Angeles,Adm GPA,
