Calculation1,City,County/State/ Territory,Count,gender,School,Pivot Field Values
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,Enr,Unknown,A B MILLER HIGH SCHOOL,
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,Adm,Unknown,A B MILLER HIGH SCHOOL,
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,App,Unknown,A B MILLER HIGH SCHOOL,
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,Enr,Other,A B MILLER HIGH SCHOOL,
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,Adm,Other,A B MILLER HIGH SCHOOL,
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,App,Other,A B MILLER HIGH SCHOOL,
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,Enr,Male,A B MILLER HIGH SCHOOL,
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,Adm,Male,A B MILLER HIGH SCHOOL,
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,App,Male,A B MILLER HIGH SCHOOL,
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,Enr,Female,A B MILLER HIGH SCHOOL,
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,Adm,Female,A B MILLER HIGH SCHOOL,4
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,App,Female,A B MILLER HIGH SCHOOL,8
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,Enr,All,A B MILLER HIGH SCHOOL,
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,Adm,All,A B MILLER HIGH SCHOOL,4
A B MILLER HIGH SCHOOL50944,Fontana,San Bernardino,App,All,A B MILLER HIGH SCHOOL,9
ABLE CHARTER54651,Stockton,San Joaquin,Enr,Unknown,ABLE CHARTER,
ABLE CHARTER54651,Stockton,San Joaquin,Adm,Unknown,ABLE CHARTER,
ABLE CHARTER54651,Stockton,San Joaquin,App,Unknown,ABLE CHARTER,
ABLE CHARTER54651,Stockton,San Joaquin,Enr,Other,ABLE CHARTER,
ABLE CHARTER54651,Stockton,San Joaquin,Adm,Other,ABLE CHARTER,
ABLE CHARTER54651,Stockton,San Joaquin,App,Other,ABLE CHARTER,
ABLE CHARTER54651,Stockton,San Joaquin,Enr,Male,ABLE CHARTER,
ABLE CHARTER54651,Stockton,San Joaquin,Adm,Male,ABLE CHARTER,
ABLE CHARTER54651,Stockton,San Joaquin,App,Male,ABLE CHARTER,
ABLE CHARTER54651,Stockton,San Joaquin,Enr,Female,ABLE CHARTER,
ABLE CHARTER54651,Stockton,San Joaquin,Adm,Female,ABLE CHARTER,
