NCESSCH,LEAID,NAME,OPSTFIPS,STREET,CITY,STATE,ZIP,STFIP,CNTY,NMCNTY,LOCALE,LAT,LON,CBSA,NMCBSA,CBSATYPE,CSA,NMCSA,NECTA,NMNECTA,CD,SLDL,SLDU,SCHOOLYEAR
060000103278,0600001,Vasquez High,06,33630 Red Rover Mine Rd.,Acton,CA,93510,06,06037,Los Angeles County,41,34.492021,-118.215978,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0625,06036,06021,2022-2023
060000107534,0600001,Meadowlark Elementary,06,3015 W. Sacramento St.,Acton,CA,93510,06,06037,Los Angeles County,42,34.474318,-118.185622,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0625,06036,06021,2022-2023
060000109444,0600001,High Desert,06,3620 Antelope Woods Rd.,Acton,CA,93510,06,06037,Los Angeles County,41,34.490948,-118.195128,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0625,06036,06021,2022-2023
060000210346,0600002,California School for the Blind,06,500 Walnut Ave.,Fremont,CA,94536,06,06001,Alameda County,21,37.561797,-121.96549,41860,"San Francisco-Oakland-Berkeley, CA",1,488,"San Jose-San Francisco-Oakland, CA",N,N,0617,06020,06010,2022-2023
060000310347,0600003,California School for the Deaf-Fremont,06,39350 Gallaudet Dr.,Fremont,CA,94538,06,06001,Alameda County,21,37.559764,-121.963353,41860,"San Francisco-Oakland-Berkeley, CA",1,488,"San Jose-San Francisco-Oakland, CA",N,N,0617,06020,06010,2022-2023
060000608773,0600006,Manor Elementary,06,150 Oak Manor Dr.,Fairfax,CA,94930,06,06041,Marin County,21,37.997108,-122.594314,41860,"San Francisco-Oakland-Berkeley, CA",1,488,"San Jose-San Francisco-Oakland, CA",N,N,0602,06010,06002,2022-2023
060000608774,0600006,White Hill Middle,06,101 Glen Dr.,Fairfax,CA,94930,06,06041,Marin County,21,38.00343,-122.606727,41860,"San Francisco-Oakland-Berkeley, CA",1,488,"San Jose-San Francisco-Oakland, CA",N,N,0602,06010,06002,2022-2023
060000608775,0600006,Brookside Elementary,06,116 Butterfield Rd.,San Anselmo,CA,94960,06,06041,Marin County,21,37.991008,-122.575464,41860,"San Francisco-Oakland-Berkeley, CA",1,488,"San Jose-San Francisco-Oakland, CA",N,N,0602,06010,06002,2022-2023
060000608776,0600006,Wade Thomas Elementary,06,150 Ross Ave.,San Anselmo,CA,94960,06,06041,Marin County,21,37.971374,-122.567277,41860,"San Francisco-Oakland-Berkeley, CA",1,488,"San Jose-San Francisco-Oakland, CA",N,N,0602,06010,06002,2022-2023
060000612911,0600006,Hidden Valley Elementary,06,46 Green Valley Ct.,San Anselmo,CA,94960,06,06041,Marin County,21,38.006047,-122.573498,41860,"San Francisco-Oakland-Berkeley, CA",1,488,"San Jose-San Francisco-Oakland, CA",N,N,0602,06010,06002,2022-2023
060000710348,0600007,California School for the Deaf-Riverside,06,3044 Horace St.,Riverside,CA,92506,06,06065,Riverside County,11,33.944558,-117.381366,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0641,06061,06031,2022-2023
060000901478,0600009,Sierra Madre High (Continuation),06,4500 Highway 166,New Cuyama,CA,93254,06,06083,Santa Barbara County,43,34.943828,-119.674697,42200,"Santa Maria-Santa Barbara, CA",1,N,N,N,N,0624,06035,06019,2022-2023
060000908779,0600009,Cuyama Valley High,06,4500 Highway 166,New Cuyama,CA,93254,06,06083,Santa Barbara County,43,34.943828,-119.674697,42200,"Santa Maria-Santa Barbara, CA",1,N,N,N,N,0624,06035,06019,2022-2023
060000908780,0600009,Cuyama Elementary,06,2300 Highway 166,New Cuyama,CA,93254,06,06083,Santa Barbara County,43,34.93224,-119.609234,42200,"Santa Maria-Santa Barbara, CA",1,N,N,N,N,0624,06035,06019,2022-2023
060001109065,0600011,Herlong High,06,200 DS Hall,Herlong,CA,96113,06,06035,Lassen County,43,40.139068,-120.144221,45000,"Susanville, CA",2,N,N,N,N,0601,06001,06001,2022-2023
060001109066,0600011,Fort Sage Middle,06,200 DS Hall,Herlong,CA,96113,06,06035,Lassen County,43,40.139068,-120.144221,45000,"Susanville, CA",2,N,N,N,N,0601,06001,06001,2022-2023
060001109068,0600011,Sierra Primary,06,100 DS Hall St.,Herlong,CA,96113,06,06035,Lassen County,43,40.141423,-120.135161,45000,"Susanville, CA",2,N,N,N,N,0601,06001,06001,2022-2023
060001112763,0600011,Mt. Lassen Charter,06,100 David S Hall St.,Herlong,CA,96113,06,06035,Lassen County,33,40.4211,-120.650932,45000,"Susanville, CA",2,N,N,N,N,0601,06001,06001,2022-2023
060001206852,0600012,Washington Elementary,06,1 Sch St.,Washington,CA,95986,06,06057,Nevada County,43,39.358171,-120.800003,46020,"Truckee-Grass Valley, CA",2,472,"Sacramento-Roseville, CA",N,N,0601,06001,06001,2022-2023
060001209206,0600012,Grizzly Hill,06,16661 Old Mill Rd.,Nevada City,CA,95959,06,06057,Nevada County,42,39.373765,-120.995434,46020,"Truckee-Grass Valley, CA",2,472,"Sacramento-Roseville, CA",N,N,0601,06001,06001,2022-2023
060001213453,0600012,Twin Ridges Special Education Preschool,06,16661 Old Mill Rd.,Nevada City,CA,95959,06,06057,Nevada County,42,39.373765,-120.995434,46020,"Truckee-Grass Valley, CA",2,472,"Sacramento-Roseville, CA",N,N,0601,06001,06001,2022-2023
060001300805,0600013,Antelope Creek Elementary,06,6185 Springview Dr.,Rocklin,CA,95677,06,06061,Placer County,21,38.7778,-121.2581,40900,"Sacramento-Roseville-Folsom, CA",1,472,"Sacramento-Roseville, CA",N,N,0604,06006,06001,2022-2023
060001302405,0600013,Rocklin High,06,5301 Victory Ln.,Rocklin,CA,95765,06,06061,Placer County,21,38.8143,-121.2511,40900,"Sacramento-Roseville-Folsom, CA",1,472,"Sacramento-Roseville, CA",N,N,0604,06006,06001,2022-2023
060001303571,0600013,Breen Elementary,06,2751 Breen Dr.,Rocklin,CA,95765,06,06061,Placer County,21,38.8181,-121.2597,40900,"Sacramento-Roseville-Folsom, CA",1,472,"Sacramento-Roseville, CA",N,N,0604,06006,06001,2022-2023
060001306176,0600013,Victory High,06,3250 Victory Dr.,Rocklin,CA,95765,06,06061,Placer County,21,38.815698,-121.254325,40900,"Sacramento-Roseville-Folsom, CA",1,472,"Sacramento-Roseville, CA",N,N,0604,06006,06001,2022-2023
060001308256,0600013,Twin Oaks Elementary,06,2835 Club Dr.,Rocklin,CA,95765,06,06061,Placer County,21,38.81,-121.2646,40900,"Sacramento-Roseville-Folsom, CA",1,472,"Sacramento-Roseville, CA",N,N,0604,06006,06001,2022-2023
060001308257,0600013,Granite Oaks Middle,06,2600 Wyckford Dr.,Rocklin,CA,95765,06,06061,Placer County,21,38.8209,-121.2525,40900,"Sacramento-Roseville-Folsom, CA",1,472,"Sacramento-Roseville, CA",N,N,0604,06006,06001,2022-2023
060001308553,0600013,Spring View Middle,06,5040 Fifth St.,Rocklin,CA,95677,06,06061,Placer County,21,38.7953,-121.2409,40900,"Sacramento-Roseville-Folsom, CA",1,472,"Sacramento-Roseville, CA",N,N,0604,06006,06001,2022-2023
060001308763,0600013,Valley View Elementary,06,3000 Crest Dr.,Rocklin,CA,95765,06,06061,Placer County,21,38.8146,-121.2408,40900,"Sacramento-Roseville-Folsom, CA",1,472,"Sacramento-Roseville, CA",N,N,0604,06006,06001,2022-2023
060001308764,0600013,Sierra Elementary,06,6811 Camborne Way,Rocklin,CA,95677,06,06061,Placer County,21,38.7723,-121.2172,40900,"Sacramento-Roseville-Folsom, CA",1,472,"Sacramento-Roseville, CA",N,N,0604,06006,06001,2022-2023
060001309069,0600013,Parker Whitney Elementary,06,5145 Topaz Ave.,Rocklin,CA,95677,06,06061,Placer County,21,38.7934,-121.2542,40900,"Sacramento-Roseville-Folsom, CA",1,472,"Sacramento-Roseville, CA",N,N,0604,06006,06001,2022-2023
060001309070,0600013,Rocklin Elementary,06,5025 Meyers St.,Rocklin,CA,95677,06,06061,Placer County,21,38.7915,-121.2284,40900,"Sacramento-Roseville-Folsom, CA",1,472,"Sacramento-Roseville, CA",N,N,0604,06006,06001,2022-2023
060001310270,0600013,Cobblestone Elementary,06,5740 Cobblestone Dr.,Rocklin,CA,95765,06,06061,Placer County,21,38.8021,-121.2648,40900,"Sacramento-Roseville-Folsom, CA",1,472,"Sacramento-Roseville, CA",N,N,0604,06006,06001,2022-2023
060001310575,0600013,Rock Creek Elementary,06,2140 Collet Quarry Dr.,Rocklin,CA,95765,06,06061,Placer County,21,38.7983,-121.2798,40900,"Sacramento-Roseville-Folsom, CA",1,472,"Sacramento-Roseville, CA",N,N,0604,06006,06001,2022-2023
060001311009,0600013,Ruhkala Elementary,06,6530 Turnstone Way,Rocklin,CA,95765,06,06061,Placer County,21,38.80289,-121.287302,40900,"Sacramento-Roseville-Folsom, CA",1,472,"Sacramento-Roseville, CA",N,N,0604,06006,06001,2022-2023
060001311010,0600013,Whitney High,06,701 Wildcat Blvd.,Rocklin,CA,95765,06,06061,Placer County,21,38.8364,-121.2894,40900,"Sacramento-Roseville-Folsom, CA",1,472,"Sacramento-Roseville, CA",N,N,0604,06006,06001,2022-2023
060001312558,0600013,Sunset Ranch Elementary,06,2500 Bridlewood Dr.,Rocklin,CA,95765,06,06061,Placer County,21,38.828479,-121.274654,40900,"Sacramento-Roseville-Folsom, CA",1,472,"Sacramento-Roseville, CA",N,N,0604,06006,06001,2022-2023
060001314465,0600013,Rocklin Alternative Education Center,06,3250 Victory Dr.,Rocklin,CA,95765,06,06061,Placer County,21,38.815698,-121.254325,40900,"Sacramento-Roseville-Folsom, CA",1,472,"Sacramento-Roseville, CA",N,N,0604,06006,06001,2022-2023
060001314609,0600013,Quarry Trail Elementary,06,810 Lazy Trail Dr.,Rocklin,CA,95765,06,06061,Placer County,21,38.831403,-121.263384,40900,"Sacramento-Roseville-Folsom, CA",1,472,"Sacramento-Roseville, CA",N,N,0604,06006,06001,2022-2023
060001403904,0600014,Topaz Preparatory Academy,06,14110 Beech St.,Hesperia,CA,92345,06,06071,San Bernardino County,21,34.4332,-117.3541,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06021,2022-2023
060001405093,0600014,Sultana High,06,17311 Sultana Ave.,Hesperia,CA,92345,06,06071,San Bernardino County,21,34.4104,-117.2867,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06021,2022-2023
060001407287,0600014,Shadow Ridge,06,15776 Main St.,Hesperia,CA,92345,06,06071,San Bernardino County,21,34.424788,-117.31918,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06021,2022-2023
060001407295,0600014,Mesquite Trails Elementary,06,13884 Mesquite St.,Hesperia,CA,92344,06,06071,San Bernardino County,21,34.398323,-117.360843,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06021,2022-2023
060001408296,0600014,Hesperia Community Day,06,16527 1/2 Lemon St.,Hesperia,CA,92345,06,06071,San Bernardino County,21,34.443814,-117.301229,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06021,2022-2023
060001409072,0600014,Hesperia High,06,9898 Maple Ave.,Hesperia,CA,92345,06,06071,San Bernardino County,21,34.4301,-117.3477,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06021,2022-2023
060001409073,0600014,Mojave High,06,16633 Lemon St.,Hesperia,CA,92345,06,06071,San Bernardino County,21,34.444602,-117.301624,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06021,2022-2023
060001409074,0600014,Joshua Circle Elementary,06,10140 8th Ave.,Hesperia,CA,92345,06,06071,San Bernardino County,21,34.43488,-117.316527,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06021,2022-2023
060001409075,0600014,Juniper Elementary,06,9400 I Ave.,Hesperia,CA,92345,06,06071,San Bernardino County,21,34.4221,-117.2819,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06021,2022-2023
060001409076,0600014,Eucalyptus Elementary,06,11224 10th Ave.,Hesperia,CA,92345,06,06071,San Bernardino County,21,34.454719,-117.318821,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06021,2022-2023
060001409077,0600014,Hesperia Junior High,06,10275 Cypress Ave.,Hesperia,CA,92345,06,06071,San Bernardino County,21,34.436245,-117.325268,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06021,2022-2023
060001409078,0600014,Mesa Grande Elementary,06,9172 3rd Ave.,Hesperia,CA,92345,06,06071,San Bernardino County,21,34.418268,-117.308349,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06021,2022-2023
060001409079,0600014,Kingston Elementary,06,7473 Kingston Ave.,Hesperia,CA,92345,06,06071,San Bernardino County,21,34.3868,-117.2741,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06021,2022-2023
060001409080,0600014,Maple Elementary,06,10616 Maple St.,Hesperia,CA,92345,06,06071,San Bernardino County,21,34.4431,-117.3479,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06021,2022-2023
060001409081,0600014,Cottonwood Elementary,06,8850 Cottonwood Ave.,Hesperia,CA,92345,06,06071,San Bernardino County,21,34.411484,-117.339014,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06021,2022-2023
060001409082,0600014,Lime Street Elementary,06,16852 Lime St.,Hesperia,CA,92345,06,06071,San Bernardino County,21,34.4054,-117.2946,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06021,2022-2023
060001409476,0600014,Hollyvale Elementary,06,11645 Hollyvale Ave.,Victorville,CA,92392,06,06071,San Bernardino County,21,34.4621,-117.3855,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06021,2022-2023
060001409477,0600014,Carmel Elementary,06,9321 Glendale Ave.,Hesperia,CA,92345,06,06071,San Bernardino County,41,34.4216,-117.2411,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06021,2022-2023
060001409676,0600014,Ranchero Middle,06,17607 Ranchero Rd.,Hesperia,CA,92345,06,06071,San Bernardino County,21,34.3826,-117.2783,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06021,2022-2023
060001411119,0600014,Cypress School of the Arts,06,10365 Cypress Ave.,Hesperia,CA,92345,06,06071,San Bernardino County,21,34.439201,-117.324072,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06021,2022-2023
060001412100,0600014,Canyon Ridge High,06,12850 Muscatel Ave.,Hesperia,CA,92344,06,06071,San Bernardino County,41,34.412835,-117.382453,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06021,2022-2023
060001412103,0600014,Cedar Middle,06,13565 Cedar St.,Hesperia,CA,92344,06,06071,San Bernardino County,21,34.4043,-117.3659,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06021,2022-2023
060001412171,0600014,Mission Crest Elementary,06,13065 Muscatel St.,Hesperia,CA,92344,06,06071,San Bernardino County,21,34.4115,-117.3783,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06021,2022-2023
060001412415,0600014,Krystal School of Science Math & Technology,06,17160 Krystal Dr.,Hesperia,CA,92345,06,06071,San Bernardino County,41,34.3795,-117.2883,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06021,2022-2023
060001412417,0600014,Oak Hills High,06,7625 Cataba Rd.,Oak Hills,CA,92344,06,06071,San Bernardino County,21,34.389,-117.3841,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06021,2022-2023
060001503907,0600015,Mountain View High,06,8560 Aliento Rd.,Lucerne Valley,CA,92356,06,06071,San Bernardino County,42,34.41026,-116.907602,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06016,2022-2023
060001509083,0600015,Lucerne Valley Elementary,06,10788 Barstow Rd.,Lucerne Valley,CA,92356,06,06071,San Bernardino County,42,34.4483,-116.946767,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06016,2022-2023
060001509084,0600015,Lucerne Valley Middle,06,33233 Rabbit Springs Rd.,Lucerne Valley,CA,92356,06,06071,San Bernardino County,42,34.457682,-116.938836,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06016,2022-2023
060001510305,0600015,Lucerne Valley High,06,33233 Rabbit Springs Rd.,Lucerne Valley,CA,92356,06,06071,San Bernardino County,42,34.457682,-116.938836,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06016,2022-2023
